species,decimalLongitude,decimalLatitude,elevation,
Acer negundo,-95.12582,49.15707,323.5634,4
Acer negundo,-94.830605,49.176175,324.1351,10
Acer negundo,-86.25,41.77,226.374,31
Acer negundo,-73.213483,45.009064,38.42027,192
Acer pensylvanicum,-72.587149,45.004251,227.65417,219
Acer pensylvanicum,-72.199613,45.002257,208.20111,232
Acer rubrum,-88.724527,48.085317,259.4673,22
Acer rubrum,-88.623369,48.099446,284.5049,27
Acer rubrum,-88.617192,48.08429,216.7587,28
Acer rubrum,-88.593598,48.104369,239.1913,30
Acer rubrum,-86.25,41.77,226.374,32
Acer rubrum,-80.989862,29.067647,0.45148605,103
Acer rubrum,-72.465677,45.002276,413.81381,225
Acer saccharinum,-86.25,41.77,226.374,33
Acer saccharinum,-73.091411,45.007994,43.948,193
Acer saccharum,-88.8139,48.04806,245.7009,19
Acer saccharum,-88.605246,48.109717,340.2108,29
Acer saccharum,-73.089799,45.007061,69.09444,201
Acer saccharum,-73.080482,45.013812,67.10973,207
Acer saccharum,-73.073796,45.015647,NA,209
Acer saccharum,-72.931435,45.01295,83.23125,215
Acer saccharum,-72.867237,45.000658,162.66911,218
Acer saccharum,-72.206271,45.004844,234.00653,229
Annona glabra,-81.380438,24.705603,-0.253556192,73
Annona glabra,-81.379272,24.703363,0.789395392,87
Annona glabra,-81.3542,24.6694,1.051490545,92
Betula alleghaniensis,-88.8139,48.04806,245.7009,20
Betula alleghaniensis,-72.474208,45.003556,480.38831,223
Betula alleghaniensis,-72.206784,45.003695,227.43053,227
Betula nigra,-94.45,37.01,309.1147,16
Betula populifolia,-72.201129,45.002327,208.11971,230
Carya cordiformis,-73.073308,45.015681,NA,210
Carya cordiformis,-73.072726,45.015722,NA,211
Carya cordiformis,-73.058889,45.005062,43.82453,213
Carya glabra,-80.989422,29.072384,2.95254302,108
Carya glabra,-80.956243,29.081376,2.73411703,134
Carya ovata,-73.091051,45.006939,58.06441,196
Celtis laevigata,-80.973534,29.095133,0.82957745,125
Celtis laevigata,-80.919884,29.037632,1.78808689,151
Diospyros virginiana,-94.58,39.0544,271.3924,14
Diospyros virginiana,-80.984842,29.068314,2.88139629,119
Diospyros virginiana,-80.973891,29.012844,7.43348265,124
Diospyros virginiana,-80.821734,24.819859,0.9740615,159
Diospyros virginiana,-77.926836,33.96355,1.3114679,161
Diospyros virginiana,-77.926119,33.962656,2.4295065,168
Diospyros virginiana,-77.925816,33.963422,1.3987435,177
Diospyros virginiana,-77.92565,33.96357,1.3158082,179
Diospyros virginiana,-77.925645,33.963537,1.3801401,180
Fagus grandifolia,-86.25,41.77,226.374,34
Fagus grandifolia,-73.0897,45.007197,70.26173,203
Fagus grandifolia,-72.481783,45.006033,539.78485,221
Fagus grandifolia,-72.480761,45.006056,518.60144,222
Fagus grandifolia,-72.206484,45.004768,234.31012,228
Fraxinus americana,-96.65,40.84,362.1734,2
Fraxinus americana,-86.25,41.77,226.374,35
Fraxinus americana,-83.59,42.33,261.0159,46
Fraxinus americana,-73.090308,45.006783,63.36631,198
Fraxinus pennsylvanica,-95.12582,49.15707,323.5634,5
Fraxinus pennsylvanica,-72.199996,45.002483,208.58823,231
Gleditsia triacanthos,-94.58,37.52833,271.2635,11
Gleditsia triacanthos,-86.25,41.77,226.374,36
Ilex opaca,-80.999362,29.072179,9.77308464,94
Ilex opaca,-80.995064,29.063643,10.81637573,98
Ilex opaca,-80.993774,29.063417,10.83884811,100
Ilex opaca,-80.989388,29.071056,3.19416308,109
Ilex opaca,-80.989005,29.06935,3.30947185,110
Ilex opaca,-80.988905,29.07102,2.92474937,112
Ilex opaca,-80.988851,29.070705,2.68043089,114
Ilex opaca,-80.973328,29.092773,1.62305641,127
Ilex opaca,-77.926278,33.963551,1.7500209,163
Ilex opaca,-77.925966,33.963037,1.2958763,173
Juniperus virginiana,-86.25,41.77,226.374,37
Liquidambar styraciflua,-80.940483,29.004383,1.04032397,141
Liquidambar styraciflua,-77.926149,33.962759,2.2884474,165
Liquidambar styraciflua,-77.926143,33.962323,1.8071042,166
Magnolia grandiflora,-80.993448,29.014676,9.63173103,101
Magnolia grandiflora,-80.991829,29.069989,4.0195899,102
Magnolia grandiflora,-80.989792,29.0709,3.1684978,104
Magnolia grandiflora,-80.989655,29.070889,3.19716835,105
Magnolia grandiflora,-80.989525,29.0712,3.2660675,106
Magnolia grandiflora,-80.989495,29.070825,3.23485374,107
Magnolia grandiflora,-80.98893,29.070898,2.79909396,111
Magnolia grandiflora,-80.988822,29.072428,2.79549408,115
Magnolia grandiflora,-80.9887,29.077167,-0.08216625,116
Magnolia grandiflora,-80.984461,29.069635,2.70116711,121
Magnolia grandiflora,-80.980582,29.168968,3.07367468,123
Magnolia grandiflora,-80.972345,29.094345,1.17054212,130
Magnolia grandiflora,-80.972229,29.092506,1.20182669,131
Magnolia grandiflora,-80.962335,29.071109,1.75629437,132
Magnolia grandiflora,-80.926998,29.025819,2.43823528,146
Magnolia grandiflora,-80.924532,29.020193,1.69987917,147
Magnolia grandiflora,-77.926093,33.96345,1.7350768,169
Magnolia grandiflora,-77.925972,33.963025,1.2958763,172
Magnolia grandiflora,-77.925938,33.962996,1.2958763,174
Magnolia grandiflora,-77.925867,33.963048,1.2382895,175
Magnolia virginiana,-80.973511,29.093022,1.3382529,126
Morus rubra,-86.25,41.77,226.374,38
Nyssa sylvatica,-86.25,41.77,226.374,39
Ostrya virginiana,-73.090356,45.01065,59.71424,197
Ostrya virginiana,-73.089841,45.007011,68.73428,200
Ostrya virginiana,-73.079348,45.013672,61.21411,208
Persea borbonia,-80.99527,24.741747,1.6650999,97
Persea borbonia,-80.988887,29.070793,2.80786443,113
Persea borbonia,-80.950127,29.116124,5.05682564,136
Persea borbonia,-80.948885,29.115317,5.36849976,138
Persea borbonia,-80.94887,29.116858,7.16455126,139
Persea borbonia,-80.923221,29.081887,3.16808534,148
Persea borbonia,-80.922683,29.078067,1.79882801,149
Persea borbonia,-80.911407,29.064944,1.72744358,153
Persea borbonia,-80.903019,29.046346,2.72959709,154
Persea borbonia,-80.901321,29.046805,4.32670164,155
Pinus clausa,-80.983925,29.066603,3.22751641,122
Pinus elliottii,-81.396835,24.712675,-0.5,50
Pinus elliottii,-81.386063,24.713537,0.573268533,51
Pinus elliottii,-81.385705,24.708582,0.763856947,52
Pinus elliottii,-81.38504,24.709094,0.131624207,53
Pinus elliottii,-81.384842,24.708495,0.604021192,54
Pinus elliottii,-81.384735,24.708211,0.612694383,55
Pinus elliottii,-81.383912,24.709217,0.519743264,56
Pinus elliottii,-81.383867,24.709178,0.490383208,57
Pinus elliottii,-81.383506,24.712916,0.881546557,58
Pinus elliottii,-81.383456,24.705628,0.821891963,59
Pinus elliottii,-81.383291,24.708149,0.302576065,60
Pinus elliottii,-81.383282,24.712204,1.10077858,61
Pinus elliottii,-81.383129,24.709303,0.791500807,62
Pinus elliottii,-81.383117,24.709288,0.791500807,63
Pinus elliottii,-81.383095,24.708947,0.402669311,64
Pinus elliottii,-81.382985,24.711321,1.184684753,65
Pinus elliottii,-81.382728,24.709055,0.896768332,66
Pinus elliottii,-81.382542,24.709146,0.809271336,67
Pinus elliottii,-81.382513,24.709332,1.043078065,68
Pinus elliottii,-81.3824,24.709323,1.278410077,69
Pinus elliottii,-81.381276,24.70564,1.043317556,70
Pinus elliottii,-81.38048,24.705523,-0.552307427,71
Pinus elliottii,-81.380448,24.706202,0.949521184,72
Pinus elliottii,-81.380325,24.70602,1.036168456,74
Pinus elliottii,-81.380233,24.707142,1.103529692,75
Pinus elliottii,-81.380226,24.705631,1.271769643,76
Pinus elliottii,-81.380143,24.706092,1.096035838,77
Pinus elliottii,-81.380142,24.705686,1.485001802,78
Pinus elliottii,-81.380142,24.705962,1.249418616,79
Pinus elliottii,-81.380123,24.705729,1.485001802,80
Pinus elliottii,-81.380097,24.705925,1.676482677,81
Pinus elliottii,-81.38008,24.705942,1.301230192,82
Pinus elliottii,-81.380031,24.706028,1.181924224,83
Pinus elliottii,-81.37985,24.699897,1.198907375,84
Pinus elliottii,-81.379651,24.705901,1.286601067,85
Pinus elliottii,-81.379485,24.706174,1.209368348,86
Pinus elliottii,-81.369423,24.689519,0.675945044,88
Pinus elliottii,-81.366667,24.7,-0.001401134,89
Pinus elliottii,-81.359362,24.678348,0.580421984,90
Pinus elliottii,-81.356075,24.67217,0.673593819,91
Pinus elliottii,-81.3542,24.6694,1.051490545,93
Pinus elliottii,-80.972811,29.10166,1.41557813,128
Pinus elliottii,-80.972563,29.101678,1.51125133,129
Pinus elliottii,-80.961433,29.073633,1.20544767,133
Pinus elliottii,-80.883903,29.003531,1.00663519,158
Pinus serotina,-80.984497,29.067761,2.80334091,120
Populus deltoides,-74.848539,45.002797,73.58869,190
Populus deltoides,-73.0894,45.007799,73.71481,204
Populus deltoides,-73.089258,45.007428,72.39915,205
Prunus americana,-94.58,37.528333,271.2804,13
Prunus serotina,-86.25,41.77,226.374,40
Prunus serotina,-77.917888,33.970002,4.5143046,186
Prunus serotina,-73.308617,45.005703,41.77828,191
Prunus serotina,-73.091217,45.007126,59.74475,194
Quercus alba,-86.25,41.77,226.374,41
Quercus alba,-82.94944,44.061615,180.0901,48
Quercus imbricaria,-94.58,39.054444,270.2935,15
Quercus laevis,-77.912579,33.994107,5.9116411,187
Quercus laevis,-77.911482,33.998541,7.343884,188
Quercus macrocarpa,-100.39786,49.00084,696.7206,1
Quercus macrocarpa,-95.12582,49.15707,323.5634,6
Quercus macrocarpa,-94.911417,49.348779,336.1297,9
Quercus nigra,-90.59,36.5,88.67216,17
Quercus nigra,-77.911482,33.998541,7.343884,189
Quercus palustris,-86.25,41.77,226.374,42
Quercus rubra,-88.83333,48.00056,200.167,18
Quercus rubra,-88.730695,48.057757,229.2365,21
Quercus rubra,-88.677887,48.075947,292.8023,23
Quercus rubra,-88.677833,48.07595,292.8932,24
Quercus rubra,-88.644937,48.085666,238.481,25
Quercus rubra,-88.63795,48.09408,263.9875,26
Quercus rubra,-82.795128,44.02342,180.0107,49
Quercus rubra,-73.091207,45.007135,60.1655,195
Quercus rubra,-73.089781,45.007183,70.45458,202
Quercus rubra,-73.059115,45.004309,50.63565,212
Quercus rubra,-72.088519,45.005305,342.08249,233
Quercus velutina,-86.25,41.77,226.374,43
Quercus virginiana,-80.99561,29.138316,0.24642435,96
Quercus virginiana,-80.986164,29.142015,1.27251101,117
Quercus virginiana,-80.985755,29.071342,2.79483199,118
Quercus virginiana,-80.949239,29.114257,4.63958549,137
Quercus virginiana,-80.932861,31.985784,-0.9498153,142
Quercus virginiana,-80.928108,29.079992,2.19070339,144
Quercus virginiana,-80.927211,29.025767,2.23554611,145
Quercus virginiana,-80.922455,29.078081,2.38763785,150
Quercus virginiana,-80.912605,29.065231,1.12650132,152
Quercus virginiana,-80.889545,29.020988,3.78532982,157
Quercus virginiana,-77.927269,33.963062,1.2360371,160
Quercus virginiana,-77.925828,33.96315,1.8792953,176
Quercus virginiana,-77.925764,33.959677,1.1806575,178
Quercus virginiana,-77.922625,33.964917,1.281548,181
Quercus virginiana,-77.922579,33.964326,0.8823352,182
Quercus virginiana,-77.919647,33.971263,1.0244472,183
Quercus virginiana,-77.919337,33.973037,1.2952113,184
Quercus virginiana,-77.918847,33.972428,1.1908259,185
Sassafras albidum,-80.99406,31.988855,2.6608112,99
Taxodium distichum,-80.998131,29.157686,2.33887315,95
Taxodium distichum,-77.926755,33.963212,1.1956612,162
Taxodium distichum,-77.926226,33.963221,0.9748758,164
Taxodium distichum,-77.926138,33.963,0.9376389,167
Taxodium distichum,-77.926084,33.962994,1.2693361,170
Taxodium distichum,-77.926021,33.963196,0.8749737,171
Tilia americana,-86.25,41.77,226.374,44
Tilia americana,-82.991246,44.046728,180.9733,47
Tilia americana,-73.090183,45.006827,63.34474,199
Tilia americana,-72.897988,45.012836,112.7887,216
Tilia americana,-72.466147,45.004019,405.21252,224
Triadica sebifera,-80.951942,29.020283,1.16593874,135
Triadica sebifera,-80.94825,29.018939,1.11633635,140
Triadica sebifera,-80.929232,29.036674,4.02381325,143
Tsuga canadensis,-72.587067,45.004243,227.93663,220
Ulmus alata,-80.890166,29.024167,3.38778853,156
Ulmus americana,-96.65,40.84,362.1734,3
Ulmus americana,-95.125819,49.157074,323.5634,7
Ulmus americana,-95.047469,49.346587,324.5488,8
Ulmus americana,-94.58,37.52833,271.2635,12
Ulmus americana,-86.25,41.77,226.374,45
Ulmus americana,-73.084127,45.012664,74.68322,206
Ulmus americana,-72.981321,45.009078,90.43211,214
Ulmus americana,-72.867253,45.000799,162.43785,217
Ulmus americana,-72.440903,45.003567,263.55453,226