Species,nLocations,centroidX,centroidY,latRange,greatCircDist,meanPairDist,minSpanTree
Abies balsamea,9745,-77.52161,44.90302,11.07595,2239.67,705.8875,23594.98
Abies fraseri,797,-82.72588,35.76434,1.787748,287.5911,85.08608,852.5698
Acer barbatum,255,-85.68459,33.285,8.915211,1808.761,564.486,8193.805
Acer leucoderme,282,-85.10192,33.88131,5.826918,1540.337,519.6662,5129.799
Acer negundo,1080,-82.45674,41.19425,10.04067,1993.988,634.8793,15889.64
Acer nigrum,,,,,,,
Acer pensylvanicum,14321,-75.71506,42.06198,12.72778,1996.894,583.3941,31574.9
Acer rubrum,,,,,,,
Acer saccharinum,,,,,,,
Acer saccharum,,,,,,,
Aesculus flava,,,,,,,
Aesculus glabra,,,,,,,
Ailanthus altissima,,,,,,,
Annona glabra,,,,,,,
Asimina triloba,,,,,,,
Betula alleghaniensis,,,,,,,
Betula lenta,,,,,,,
Betula nigra,,,,,,,
Betula populifolia,,,,,,,
Carpinus caroliniana,,,,,,,
Carya alba,,,,,,,
Carya aquatica,,,,,,,
Carya cordiformis,,,,,,,
Carya glabra,,,,,,,
Carya illinoinensis,,,,,,,
Carya ovata,,,,,,,
Carya texana,,,,,,,
Castanea dentata,,,,,,,
Celtis laevigata,,,,,,,
Celtis occidentalis,,,,,,,
Cercis canadensis,,,,,,,
Chamaecyparis thyoides,,,,,,,
Cornus florida,,,,,,,
Diospyros virginiana,,,,,,,
Fagus grandifolia,,,,,,,
Fraxinus americana,,,,,,,
Fraxinus caroliniana,,,,,,,
Fraxinus nigra,,,,,,,
Fraxinus pennsylvanica,,,,,,,
Fraxinus profunda,,,,,,,
Fraxinus quadrangulata,,,,,,,
Fraxinus texensis,,,,,,,
Gleditsia aquatica,,,,,,,
Gleditsia triacanthos,,,,,,,
Gordonia lasianthus,,,,,,,
Gymnocladus dioicus,,,,,,,
Ilex opaca,,,,,,,
Juglans cinerea,,,,,,,
Juglans nigra,,,,,,,
Juniperus virginiana,,,,,,,
Larix laricina,,,,,,,
Liquidambar styraciflua,,,,,,,
Liriodendron tulipifera,,,,,,,
Maclura pomifera,,,,,,,
Magnolia acuminata,,,,,,,
Magnolia fraseri,,,,,,,
Magnolia grandiflora,,,,,,,
Magnolia macrophylla,,,,,,,
Magnolia virginiana,,,,,,,
Morus rubra,,,,,,,
Nyssa aquatica,,,,,,,
Nyssa biflora,,,,,,,
Nyssa ogeche,,,,,,,
Nyssa sylvatica,,,,,,,
Ostrya virginiana,,,,,,,
Oxydendrum arboreum,,,,,,,
Paulownia tomentosa,,,,,,,
Persea borbonia,,,,,,,
Picea glauca,,,,,,,
Picea mariana,,,,,,,
Pinus banksiana,,,,,,,
Pinus clausa,,,,,,,
Pinus echinata,,,,,,,
Pinus elliottii,,,,,,,
Pinus glabra,,,,,,,
Pinus palustris,,,,,,,
Pinus pungens,,,,,,,
Pinus resinosa,,,,,,,
Pinus rigida,,,,,,,
Pinus serotina,,,,,,,
Pinus taeda,,,,,,,
Pinus virginiana,,,,,,,
Planera aquatica,,,,,,,
Platanus occidentalis,,,,,,,
Populus balsamifera,,,,,,,
Populus deltoides,,,,,,,
Populus heterophylla,,,,,,,
Prunus americana,,,,,,,
Prunus serotina,,,,,,,
Quercus alba,,,,,,,
Quercus bicolor,,,,,,,
Quercus coccinea,,,,,,,
Quercus ellipsoidalis,,,,,,,
Quercus falcata,,,,,,,
Quercus ilicifolia,,,,,,,
Quercus imbricaria,,,,,,,
Quercus incana,,,,,,,
Quercus laevis,,,,,,,
Quercus laurifolia,,,,,,,
Quercus lyrata,,,,,,,
Quercus macrocarpa,,,,,,,
Quercus margaretta,,,,,,,
Quercus marilandica,,,,,,,
Quercus michauxii,,,,,,,
Quercus minima,,,,,,,
Quercus muehlenbergii,,,,,,,
Quercus nigra,,,,,,,
Quercus pagoda,,,,,,,
Quercus palustris,,,,,,,
Quercus phellos,,,,,,,
Quercus prinus,,,,,,,
Quercus rubra,,,,,,,
Quercus shumardii,,,,,,,
Quercus sinuata var. sinuata,,,,,,,
Quercus stellata,,,,,,,
Quercus texana,,,,,,,
Quercus velutina,,,,,,,
Quercus virginiana,,,,,,,
Robinia pseudoacacia,,,,,,,
Salix caroliniana,,,,,,,
Salix nigra,,,,,,,
Sassafras albidum,,,,,,,
Taxodium ascendens,,,,,,,
Taxodium distichum,,,,,,,
Thuja occidentalis,,,,,,,
Tilia americana,,,,,,,
Triadica sebifera,,,,,,,
Tsuga canadensis,,,,,,,
Tsuga caroliniana,,,,,,,
Ulmus alata,,,,,,,
Ulmus americana,,,,,,,
Ulmus crassifolia,,,,,,,
Ulmus rubra,,,,,,,
Ulmus thomasii,,,,,,,