"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R2","Abies fraseri",0.121043163706164,1,0.00339305652156921,0.001,0.0255712951614002,0.001,8324.17709997606,0.001
"R21","Acer barbatum",0.0921205785752658,1,0.00163229005881992,0.001,0.38102400395904,0.001,14963.312870736,0.001
"R22","Acer leucoderme",0.138581540627684,1,0.00147242361840869,0.001,0.216560484304426,0.001,9092.64905330335,0.001
"R23","Acer negundo",0.0623125856932405,1,0.00079805583183509,0.001,0.370552244851703,0.001,314713536.38223,0.001
"R24","Acer nigrum",0.0978153786344159,1,0.00123063401716177,0.001,0.240629139093301,0.001,159232.318816062,0.001
"R25","Acer pensylvanicum",0.102707465357368,1,0.00120615099970339,0.001,0.337748957264912,0.001,41567422.1593981,0.001
"R26","Acer rubrum",0.0355269572470954,1,0.00119979786588551,0.001,0.648290613023754,0.001,1846979432.10682,0.001
"R27","Acer saccharinum",0.0241518188195391,1,0.000963640174760755,0.001,0.68153660159225,0.001,2159660579.50468,0.001
"R28","Acer saccharum",0.0708609771684164,1,0.00120680879954244,0.001,0.331736963113234,0.001,213077133.197304,0.001
"R29","Aesculus glabra",0.0380644642552514,1,0.00219356989338368,0.001,0.546232217793544,0.001,5282386.40632108,0.001
"R210","Ailanthus altissima",0.0509606535422421,1,0.000696619122515797,0.001,0.497279528716895,0.001,281651645.962479,0.001
"R211","Annona glabra",0.0819789554617709,1,0.00781420783679079,0.001,0.345098320851033,0.001,402180.525126704,0.001
"R212","Asimina triloba",0.0832316787419142,1,0.000694965774018928,0.001,0.119750794946337,0.001,34226256.1340311,0.001
"R213","Betula alleghaniensis",0.115987224066812,1,0.00073301351998054,0.001,0.195389704139216,0.001,12421524.8777536,0.001
"R214","Betula lenta",0.0963153149781782,1,0.00128234149732274,0.001,0.247277618150767,0.001,3083166.84999596,0.001
"R215","Betula nigra",0.0666386260786865,1,0.00118923234224923,0.001,0.435868842448387,0.001,8999332.2156229,0.001
"R216","Betula populifolia",0.10789199713278,1,0.00312206196402315,0.001,0.248572260049318,0.001,1637535.51389045,0.001
"R217","Carpinus caroliniana",0.0632235724384236,1,0.00116560350110304,0.001,0.472000533157414,0.001,46753913.4162792,0.001
"R218","Carya alba",0.0797205619182956,1,0.000933144509152486,0.001,0.281712982785709,0.001,1420585.45273132,0.001
"R219","Carya aquatica",0.0926633973392722,1,0.00142657265026544,0.001,0.393327729393068,0.001,78308.6664229509,0.001
"R220","Carya cordiformis",0.0832613841837576,1,0.000866056609451102,0.001,0.238248681395404,0.001,3647468.55933164,0.001
"R221","Carya glabra",0.0550964274308968,1,0.00140808281700576,0.001,0.490342863034027,0.001,6691027.93248131,0.001
"R222","Carya illinoinensis",0.0208884309968976,1,0.00309163975393184,0.001,0.767460349105874,0.001,54359693.5162382,0.001
"R223","Carya ovata",0.0895715991652953,1,0.00089509441802856,0.001,0.220049235563411,0.001,8271735.90240766,0.001
"R224","Carya texana",0.0481743109567979,1,0.00387327119351982,0.001,0.763164145194012,0.001,786085.072331823,0.001
"R225","Castanea dentata",0.077966408661769,1,0.00112354367108547,0.001,0.325028597018613,0.001,16219145.1265496,0.001
"R226","Celtis laevigata",0.0539756613929812,1,0.00139072204591798,0.001,0.58463087854728,0.001,82549518.3957012,0.001
"R227","Celtis occidentalis",0.0648138564480297,1,0.000891799237237257,0.001,0.400578272120281,0.001,43048188.7967582,0.001
"R228","Cercis canadensis",0.0510909077626827,1,0.000845718976077067,0.001,0.44442624207973,0.001,514926148.707349,0.001
"R229","Chamaecyparis thyoides",0.0735383329098031,1,0.00202930594449234,0.001,0.805312428100505,0.001,7259438.76239602,0.001
"R230","Cornus florida",0.0685071782628059,1,0.000880257628872278,0.001,0.302443311768523,0.001,123318846.822218,0.001
"R231","Diospyros virginiana",0.0674283228253052,1,0.000748802394841065,0.001,0.292422635532272,0.001,71491809.9140873,0.001
"R232","Fagus grandifolia",0.0777071972215053,1,0.00123727787662049,0.001,0.363011704665737,0.001,559262433.334185,0.001
"R233","Fraxinus albicans",0.100324527024576,1,0.0101925208033815,0.001,0.553814109848788,0.001,1457.19033101234,0.001
"R234","Fraxinus americana",0.083114368547965,1,0.000926921607556226,0.001,0.361418051449927,0.001,13226069.5916243,0.001
"R235","Fraxinus caroliniana",0.102299266901686,1,0.00195262521883698,0.001,0.47304845607277,0.001,183561.474134718,0.001
"R236","Fraxinus pennsylvanica",0.0179145501760965,1,0.00108205954451131,0.001,0.870829228090436,0.001,5480669915.0258,0.001
"R237","Fraxinus profunda",0.119997403345634,1,0.00162500563742717,0.001,0.216193348049183,0.001,2683.22408924188,0.001
"R238","Fraxinus quadrangulata",0.072263181558284,1,0.00357261837607102,0.001,0.401964102160341,0.001,306824.038038209,0.001
"R239","Gleditsia aquatica",0.0798064837566599,1,0.00169961410909362,0.001,0.536856130659401,0.001,98616.3807738769,0.001
"R240","Gleditsia triacanthos",0.0374747273128964,1,0.00179394219949336,0.001,0.695048471286495,0.001,107236468.249958,0.001
"R241","Gordonia lasianthus",0.0707961868533989,1,0.00266624462304509,0.001,0.600604396857694,0.001,2021051.53318977,0.001
"R242","Gymnocladus dioicus",0.0829756910069576,1,0.00204204939206713,0.001,0.328317097321133,0.001,1011612.41961967,0.001
"R243","Ilex opaca",0.0642099081760143,1,0.00112215265037804,0.001,0.497809150276433,0.001,228416263.706597,0.001
"R244","Juglans cinerea",0.107181760821424,1,0.000922361112841191,0.001,0.225922126704874,0.001,682426.614695473,0.001
"R245","Juglans nigra",0.0696363800001692,1,0.00102490335872099,0.001,0.346038041407605,0.001,58654533.2964803,0.001
"R246","Juniperus virginiana",0.0697858776788346,1,0.000986266548133776,0.001,0.418851101870664,0.001,259669252.061817,0.001
"R247","Liquidambar styraciflua",0.0450402513706568,1,0.00138029345370529,0.001,0.691807762561539,0.001,2265469627.8481,0.001
"R248","Liriodendron tulipifera",0.0707957228162534,1,0.00101399323999457,0.001,0.241852844758713,0.001,264194942.452047,0.001
"R249","Maclura pomifera",0.035120165159704,1,0.00497158492355677,0.001,0.71800399964897,0.001,37143482.2346298,0.001
"R250","Magnolia acuminata",0.0896230532797292,1,0.00223710882586209,0.001,0.47359467867168,0.001,2005572.21829819,0.001
"R251","Magnolia fraseri",0.157968208446785,1,0.00287262717083214,0.001,0.0992954266752333,0.001,175529.213853542,0.001
"R252","Magnolia grandiflora",0.136158682582822,1,0.000884301620121663,0.001,0.156701442244561,0.001,3334169.95736351,0.001
"R253","Magnolia macrophylla",0.060185131622553,1,0.00345171882639705,0.001,0.582981786666859,0.001,1941243.16377274,0.001
"R254","Magnolia virginiana",0.0715830435842813,1,0.00163618570628338,0.001,0.633637147497854,0.001,17702732.123365,0.001
"R255","Morus rubra",0.065894085226037,1,0.00105392371690552,0.001,0.385851616357869,0.001,8769208.02115242,0.001
"R256","Nyssa aquatica",0.126360785216881,1,0.00125358667693272,0.001,0.205819288668284,0.001,48137.0191817026,0.001
"R257","Nyssa biflora",0.103185548832703,1,0.0014512600261608,0.001,0.291894092633724,0.001,124593.341864327,0.001
"R258","Nyssa ogeche",0.109374474372002,1,0.00896420186091732,0.001,0.390414233964063,0.001,14870.1596874938,0.001
"R259","Nyssa sylvatica",0.0742570849839838,1,0.000991714806295412,0.001,0.387684739177121,0.001,20451048.0852534,0.001
"R260","Ostrya virginiana",0.0725444343590521,1,0.001050355452638,0.001,0.375776467360175,0.001,27817781.2630649,0.001
"R261","Oxydendrum arboreum",0.115472500332099,1,0.00125873175016347,0.001,0.106736666402442,0.001,1302143.27748431,0.001
"R262","Paulownia tomentosa",0.0564668053106491,1,0.000856158019640129,0.001,0.388181113803427,0.001,24274450.3711388,0.001
"R263","Persea borbonia",0.136561210184273,1,0.00100196143278157,0.001,0.243788633660803,0.001,104584.783477491,0.001
"R264","Pinus clausa",0.120499768356325,1,0.00387172364669118,0.001,0.28689760052913,0.001,391745.265509277,0.001
"R265","Pinus echinata",0.108752364274836,1,0.000840964499629277,0.001,0.172812689828065,0.001,590945.944170814,0.001
"R266","Pinus elliottii",0.116957824142476,1,0.00277914926380113,0.001,0.350111307665054,0.001,1068310.05843449,0.001
"R267","Pinus glabra",0.134421609364566,1,0.00173235636182696,0.001,0.227673370180755,0.001,34313.7306667937,0.001
"R268","Pinus palustris",0.122250707969531,1,0.00109859429384957,0.001,0.258081383481895,0.001,5506136.85889088,0.001
"R269","Pinus pungens",0.142916369004955,1,0.00225915385843384,0.001,0.199742384719224,0.001,76414.5565834069,0.001
"R270","Pinus rigida",0.0882677677878475,1,0.00137282209637539,0.001,0.199100373934714,0.001,12378885.2064574,0.001
"R271","Pinus serotina",0.0917192262305556,1,0.00203171615074426,0.001,0.45182911979685,0.001,105725.552852687,0.001
"R272","Pinus taeda",0.0855023415035624,1,0.00118428552898158,0.001,0.509319636068114,0.001,14367487.5178552,0.001
"R273","Pinus virginiana",0.0934083754133443,1,0.00124257361537386,0.001,0.188593715945798,0.001,1778055.87198214,0.001
"R274","Planera aquatica",0.131095618580948,1,0.00192302790057008,0.001,0.242106481606788,0.001,21453.7119049412,0.001
"R275","Platanus occidentalis",0.0603029687309568,1,0.00111850094809403,0.001,0.459885966397228,0.001,255346553.507285,0.001
"R276","Populus deltoides",0.0535576358528952,1,0.00119135718096445,0.001,0.53484997605819,0.001,95472629.1528572,0.001
"R277","Populus heterophylla",0.105619050508456,1,0.00128488364852257,0.001,0.225987837852492,0.001,16529.5535107403,0.001
"R278","Prunus americana",0.0899225000002869,1,0.000844129583281479,0.001,0.392063281641549,0.001,2803301.7758164,0.001
"R279","Prunus serotina",0.0691781453479027,1,0.000890904654455613,0.001,0.377790042355994,0.001,198966722.59142,0.001
"R280","Quercus alba",0.0761342016114755,1,0.000990805425768453,0.001,0.343624495566911,0.001,142955408.997182,0.001
"R281","Quercus bicolor",0.0528389878379721,1,0.00141184456832001,0.001,0.55883706818666,0.001,48077486.3860973,0.001
"R282","Quercus coccinea",0.0691033258445062,1,0.00126613248436458,0.001,0.405946986546704,0.001,3402125.31556576,0.001
"R283","Quercus ellipsoidalis",0.0748039348886615,1,0.00387307624172199,0.001,0.418688127750251,0.001,731787.510161896,0.001
"R284","Quercus falcata",0.0828623200858805,1,0.00132450974242395,0.001,0.445047826043729,0.001,8995724.2069668,0.001
"R285","Quercus ilicifolia",0.142948446594928,1,0.00107610305094815,0.001,0.0579067077893253,0.001,250768.624457855,0.001
"R286","Quercus imbricaria",0.128080334676281,1,0.000845677681191087,0.001,0.0857859975911807,0.001,162229.702993705,0.001
"R287","Quercus incana",0.103848833174335,1,0.0014786191163043,0.001,0.394589508897337,0.001,193969.906256496,0.001
"R288","Quercus laevis",0.0973128255325019,1,0.00238754981605692,0.001,0.389161614525678,0.001,1841717.11424157,0.001
"R289","Quercus laurifolia",0.101103408619944,1,0.00151760659889457,0.001,0.394102211180417,0.001,334060.569741094,0.001
"R290","Quercus lyrata",0.114664206723909,1,0.0013025645386201,0.001,0.231195373386166,0.001,127956.907601441,0.001
"R291","Quercus macrocarpa",0.0391363426505233,1,0.00179479466479645,0.001,0.667322484129214,0.001,115527158.21164,0.001
"R292","Quercus margaretta",0.129547395020314,1,0.00187669816129972,0.001,0.407995560030354,0.001,2820.79949820961,0.001
"R293","Quercus marilandica",0.0910684342257367,1,0.00101070241899163,0.001,0.421183189358327,0.001,14557592.9369006,0.001
"R294","Quercus michauxii",0.055713711326933,1,0.00123780244848743,0.001,0.415791504213119,0.001,1805539.4532074,0.001
"R295","Quercus minima",0.0848968175568309,1,0.00419671726447033,0.001,0.420786206825725,0.001,179259.227843033,0.001
"R296","Quercus muehlenbergii",0.0727003960237956,1,0.0015148189254256,0.001,0.525315971122482,0.001,13380571.1044887,0.001
"R297","Quercus nigra",0.100522781486965,1,0.000909675008290628,0.001,0.283235505982657,0.001,15807141.073304,0.001
"R298","Quercus pagoda",0.113825589596367,1,0.00144464611466985,0.001,0.294280480966108,0.001,126036.714662862,0.001
"R299","Quercus palustris",0.0329234481244718,0.001,0.00131131622438881,0.001,0.53838439298281,0.001,1179860166.17986,0.001
"R2100","Quercus phellos",0.0546681573632278,1,0.00166946268944826,0.001,0.791292824034978,0.001,217424371.937465,0.001
"R2101","Quercus rubra",0.0526258644278856,1,0.00109888724286051,0.001,0.446224933970966,0.001,416841598.262502,0.001
"R2102","Quercus shumardii",0.0834364033412063,1,0.00128346777985337,0.001,0.417691979489686,0.001,1412456.58019269,0.001
"R2103","Quercus sinuata",0.168155403178394,1,0.00169063722317802,0.001,0.276977561125065,0.001,14118.1386480715,0.001
"R2104","Quercus stellata",0.070285500431999,1,0.000926654340363655,0.001,0.46850124654723,0.001,32252823.567259,0.001
"R2105","Quercus texana",0.0606873726451364,1,0.00346474611923172,0.001,0.54018748188365,0.001,23376.1589583367,0.001
"R2106","Quercus velutina",0.0816359673146304,1,0.000824635566630134,0.001,0.274514315948885,0.001,9984298.95683505,0.001
"R2107","Quercus virginiana",0.0890351702515305,1,0.00104529940675237,0.001,0.384667463117333,0.001,7341789.58252227,0.001
"R2108","Robinia pseudoacacia",0.116751032529024,1,0.00105425568639718,0.001,0.14497600070932,0.001,980332.077280224,0.001
"R2109","Salix caroliniana",0.063104113068478,1,0.0014615296430297,0.001,0.729353568003408,0.001,3412859.1673156,0.001
"R2110","Salix nigra",0.0608676670429522,1,0.00102146630425134,0.001,0.562985812690086,0.001,34302051.2521733,0.001
"R2111","Sassafras albidum",0.0812241663091147,1,0.000904124699350031,0.001,0.27151367697528,0.001,240825160.695603,0.001
"R2112","Taxodium distichum",0.0929544166823182,1,0.00106368754845008,0.001,0.400029880637208,0.001,33708555.1577966,0.001
"R2113","Tilia americana",0.0455075211381933,1,0.00114896466194785,0.001,0.508210975467527,0.001,351830243.435834,0.001
"R2114","Triadica sebifera",0.111842085440346,1,0.000851624553279904,0.001,0.215383580360208,0.001,23133527.2172346,0.001
"R2115","Tsuga canadensis",0.0842490895581713,1,0.000982690361001533,0.001,0.278429904058896,0.001,171407301.741771,0.001
"R2116","Tsuga caroliniana",0.157969820279913,1,0.00249116232263042,0.001,0.0530381446099841,0.001,6438.65325025513,0.001
"R2117","Ulmus alata",0.087321596414037,1,0.000818229684243411,0.001,0.213422395276719,0.001,2513701.71638261,0.001
"R2118","Ulmus americana",0.0322336287224791,1,0.000995393910542568,0.001,0.757333564306479,0.001,758862610.701142,0.001
"R2119","Ulmus crassifolia",0.0192412463847819,1,0.0032229910484042,0.001,0.600613864061659,0.001,64538121.7579681,0.001
"R2120","Ulmus rubra",0.0791586695222578,1,0.00118700177995854,0.001,0.356995217444062,0.001,2175599.28485317,0.001
"R2121","Ulmus thomasii",0.0915248802229705,1,0.00165797642688314,0.001,0.361185997995671,0.001,18598.2965006911,0.001
