"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","sig.diff.null","point.color","point.shape","GlobalFlag","quadrant"
"R2","Abies fraseri",0.125950458,1,0.008980342,0.001,0.1576578,0.001,59369.7964,0.001,-24.50515629,202.7536459,9.779072261,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R21","Acer barbatum",0.274779023,1,0.000536107,0.001,0.025646023,0.001,639.8121711,0.001,6.95633481,1.729785158,-3.39642034,1000,956,1,1,0.956,0.001,"","not.sig","black",1,"Other","Q4"
"R22","Acer leucoderme",0.275027477,1,0.00043865,0.001,0.017997176,0.001,602.8486698,0.001,7.008856576,-0.590292364,-4.159816887,1000,276,1,1,0.276,0.001,"","not.sig","black",1,"Other","Q4"
"R23","Acer negundo",0.226719967,1,0.000256404,0.001,0.034363916,0.001,19032715.02,0.001,-3.203069418,-4.928858449,-2.526327326,1,1,2,0.001,0.001,0.002,"","not.sig","black",1,"Other","Q1"
"R24","Acer nigrum",0.231746501,1,0.000609596,0.001,0.042688815,0.001,22721.75124,0.001,-2.140489468,3.479251415,-1.695457175,20,998,34,0.02,0.998,0.034,"","not.sig","black",1,"Other","Q3"
"R25","Acer pensylvanicum",0.182049673,1,0.000550457,0.001,0.05393098,0.001,4967433.276,0.001,-12.64610919,2.071395664,-0.573428007,1,976,296,0.001,0.976,0.296,"","not.sig","black",1,"Other","Q2"
"R26","Acer rubrum",0.112563332,1,0.00107153,0.001,0.264249498,0.001,363637767.5,0.001,-27.33511654,14.47607658,20.41750278,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R27","Acer saccharinum",0.061047198,1,0.001767523,0.001,0.439524093,0.001,793982843.6,0.001,-38.2253271,31.04491603,37.91085973,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R28","Acer saccharum",0.119085944,1,0.001360383,0.001,0.272917193,0.001,163954383.4,0.001,-25.95627441,21.3525319,21.28258586,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R29","Aesculus glabra",0.224345642,1,0.000586587,0.001,0.053248532,0.001,246807.3907,0.001,-3.704987768,2.931507324,-0.641540037,1,994,274,0.001,0.994,0.274,"","not.sig","black",1,"Other","Q3"
"R210","Ailanthus altissima",0.214619643,1,0.00043235,0.001,0.086456014,0.001,27145708.36,0.001,-5.761007413,-0.740256102,2.672747093,1,228,990,0.001,0.228,0.99,"","not.sig","black",1,"Other","Q2"
"R211","Annona glabra",0.178193101,1,0.00240944,0.001,0.010199101,0.001,7915.455806,0.001,-13.46136596,46.32643719,-4.938107073,1,1000,1,0.001,1,0.001,"","not.sig","black",1,"Other","Q3"
"R212","Asimina triloba",0.217412091,1,0.000368611,0.001,0.022981983,0.001,5952300.299,0.001,-5.170700234,-2.257645015,-3.66230606,1,8,1,0.001,0.008,0.001,"","not.sig","black",1,"Other","Q2"
"R213","Betula alleghaniensis",0.173143172,1,0.00054825,0.001,0.068137682,0.001,3928132.259,0.001,-14.5288916,2.018846368,0.844478042,1,975,811,0.001,0.975,0.811,"","not.sig","black",1,"Other","Q2"
"R214","Betula lenta",0.193989602,1,0.000626633,0.001,0.031046971,0.001,301554.362,0.001,-10.12207784,3.884849577,-2.857376453,1,998,2,0.001,0.998,0.002,"","not.sig","black",1,"Other","Q2"
"R215","Betula nigra",0.228384682,1,0.000239757,0.001,0.018961935,0.001,225128.9532,0.001,-2.851158339,-5.325147122,-4.063528617,3,1,1,0.003,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R216","Betula populifolia",0.183114835,1,0.001498249,0.001,0.058086495,0.001,320596.4719,0.001,-12.4209401,24.63457794,-0.158684982,1,1000,461,0.001,1,0.461,"","not.sig","black",1,"Other","Q3"
"R217","Carpinus caroliniana",0.218293767,1,0.000357106,0.001,0.040412928,0.001,2219477.466,0.001,-4.984319047,-2.531536403,-1.922603001,1,4,18,0.001,0.004,0.018,"","not.sig","black",1,"Other","Q2"
"R218","Carya alba",0.228552834,1,0.000305181,0.001,0.027036299,0.001,100648.9207,0.001,-2.8156119,-3.767659254,-3.257663256,3,1,1,0.003,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R219","Carya aquatica",0.222251108,1,0.001294481,0.001,0.182060734,0.001,26884.6657,0.001,-4.147760131,19.78365618,12.21461765,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R220","Carya cordiformis",0.223991255,1,0.000388276,0.001,0.040696832,0.001,497820.2647,0.001,-3.77990318,-1.789505125,-1.894267848,1,34,21,0.001,0.034,0.021,"","not.sig","black",1,"Other","Q2"
"R221","Carya glabra",0.216379287,1,0.000650484,0.001,0.094510455,0.001,729001.9511,0.001,-5.389028887,4.452635313,3.476624144,1,1000,996,0.001,1,0.996,"Shifting","sig","black",16,"Other","Q2"
"R222","Carya illinoinensis",0.242307827,1,0.000844518,0.001,0.039080497,0.001,669870.9471,0.001,0.092113252,9.071831253,-2.055586837,537,1000,11,0.537,1,0.011,"","not.sig","black",1,"Other","Q3"
"R223","Carya ovata",0.222489906,1,0.000504546,0.001,0.059429321,0.001,1881135.281,0.001,-4.097279707,0.978432566,-0.024663646,1,846,511,0.001,0.846,0.511,"","not.sig","black",1,"Other","Q2"
"R224","Carya texana",0.227811672,1,0.001373076,0.001,0.128730658,0.001,36043.63623,0.001,-2.972289422,21.6547002,6.891986265,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R225","Castanea dentata",0.18470134,1,0.000469901,0.001,0.033321544,0.001,1173488.576,0.001,-12.08556222,0.153681272,-2.630361638,1,586,2,0.001,0.586,0.002,"","not.sig","black",1,"Other","Q2"
"R226","Celtis laevigata",0.207624921,1,0.000930401,0.001,0.167777187,0.001,11850103.46,0.001,-7.239650852,11.11635875,10.78904202,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R227","Celtis occidentalis",0.190031218,1,0.000679548,0.001,0.116011679,0.001,8470255.669,0.001,-10.95885707,5.144535828,5.622563051,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R228","Cercis canadensis",0.228747611,1,0.000389913,0.001,0.061989081,0.001,42617970.99,0.001,-2.774437338,-1.750519902,0.230814264,3,34,623,0.003,0.034,0.623,"","not.sig","black",1,"Other","Q2"
"R229","Chamaecyparis thyoides",0.210724515,1,0.000116258,0.001,0.003438485,0.001,6244.272409,0.001,-6.584414735,-8.265168235,-5.612853321,1,1,1,0.001,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R230","Cornus florida",0.222273194,1,0.000380357,0.001,0.038464969,0.001,11419045.93,0.001,-4.14309128,-1.97801268,-2.117019902,1,21,7,0.001,0.021,0.007,"","not.sig","black",1,"Other","Q2"
"R231","Diospyros virginiana",0.234945422,1,0.000446632,0.001,0.048483134,0.001,8864716.679,0.001,-1.464256111,-0.4002635,-1.117152573,73,350,113,0.073,0.35,0.113,"","not.sig","black",1,"Other","Q2"
"R232","Fagus grandifolia",0.204229115,1,0.000542662,0.001,0.066784955,0.001,75443769.83,0.001,-7.957504481,1.885835824,0.709468603,1,967,775,0.001,0.967,0.775,"","not.sig","black",1,"Other","Q2"
"R233","Fraxinus albicans",0.293240376,1,0.004345468,0.001,0.094631176,0.001,122.7091081,0.001,10.85895722,92.41560585,3.488672739,1000,1000,996,1,1,0.996,"","not.sig","black",1,"Other","Q3"
"R234","Fraxinus americana",0.199633518,1,0.000617238,0.001,0.128201501,0.001,3498085.149,0.001,-8.928986825,3.661180687,6.839173541,1,998,1000,0.001,0.998,1,"Shifting","sig","black",16,"Other","Q2"
"R235","Fraxinus caroliniana",0.149332209,1,0.001938086,0.001,0.250234728,0.001,68244.68758,0.001,-19.56239026,35.10534758,19.01875265,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R236","Fraxinus pennsylvanica",0.035796959,1,0.001388542,0.001,0.600395009,0.001,1224892702,0.001,-43.56308049,22.02288001,53.9666512,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R237","Fraxinus profunda",0.224096476,1,0.00135367,0.001,0.203390044,0.001,2483.747958,0.001,-3.757660121,21.19272287,14.34339868,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R238","Fraxinus quadrangulata",0.229491568,1,0.00082523,0.001,0.037821175,0.001,17981.13751,0.001,-2.617169089,8.612661843,-2.181274006,6,1000,4,0.006,1,0.004,"","not.sig","black",1,"Other","Q3"
"R239","Gleditsia aquatica",0.142977821,1,0.002533737,0.001,0.510592952,0.001,88758.84835,0.001,-20.90567092,49.28544524,45.00391795,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R240","Gleditsia triacanthos",0.228241057,1,0.000429841,0.001,0.052604909,0.001,2625425.431,0.001,-2.88151983,-0.799993723,-0.705777092,2,218,251,0.002,0.218,0.251,"","not.sig","black",1,"Other","Q2"
"R241","Gordonia lasianthus",0.049069595,1,0.001921939,0.001,0.174648222,0.001,285086.1843,0.001,-40.75732254,34.72095408,11.47480867,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R242","Gymnocladus dioicus",0.238549898,1,0.000444737,0.001,0.020616809,0.001,43609.44662,0.001,-0.702290884,-0.445382529,-3.898363238,246,332,1,0.246,0.332,0.001,"","not.sig","black",1,"Other","Q4"
"R243","Ilex opaca",0.224195682,1,0.000191218,0.001,0.010568118,0.001,2475884.188,0.001,-3.736688485,-6.480669663,-4.901277206,1,1,1,0.001,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R244","Juglans cinerea",0.217457435,1,0.000484459,0.001,0.053686132,0.001,137228.5481,0.001,-5.161114621,0.500249371,-0.597865108,1,707,290,0.001,0.707,0.29,"","not.sig","black",1,"Other","Q2"
"R245","Juglans nigra",0.215900555,1,0.000455276,0.001,0.062466387,0.001,7437345.126,0.001,-5.490229974,-0.19449334,0.278452023,1,430,642,0.001,0.43,0.642,"","not.sig","black",1,"Other","Q2"
"R246","Juniperus virginiana",0.236912396,1,0.000281656,0.001,0.034719201,0.001,13023556.15,0.001,-1.048449254,-4.327692402,-2.490867934,139,1,3,0.139,0.001,0.003,"","not.sig","black",1,"Other","Q1"
"R247","Liquidambar styraciflua",0.159997269,1,0.000727336,0.001,0.143509341,0.001,169645724,0.001,-17.30785882,6.282179279,8.366979102,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R248","Liriodendron tulipifera",0.204635182,1,0.000448269,0.001,0.033491624,0.001,29010901.92,0.001,-7.871664123,-0.361310546,-2.613386714,1,362,2,0.001,0.362,0.002,"","not.sig","black",1,"Other","Q2"
"R249","Maclura pomifera",0.219983736,1,0.000948609,0.001,0.011661779,0.001,172130.5346,0.001,-4.627069301,11.54982541,-4.792123898,1,1000,1,0.001,1,0.001,"","not.sig","black",1,"Other","Q3"
"R250","Magnolia acuminata",0.203005553,1,0.000483366,0.001,0.035292258,0.001,83494.7319,0.001,-8.216158199,0.474233562,-2.433673713,1,696,3,0.001,0.696,0.003,"","not.sig","black",1,"Other","Q2"
"R251","Magnolia fraseri",0.181105922,1,0.001679852,0.001,0.035085593,0.001,57895.2006,0.001,-12.84561259,28.95783195,-2.454299965,1,1000,3,0.001,1,0.003,"","not.sig","black",1,"Other","Q3"
"R252","Magnolia grandiflora",0.154860902,1,0.001480959,0.001,0.175389683,0.001,3845739.496,0.001,-18.39365692,24.22296585,11.54881048,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R253","Magnolia macrophylla",0.204808294,1,0.000900952,0.001,0.038393748,0.001,55442.55209,0.001,-7.835069328,10.41529524,-2.124128101,1,1000,7,0.001,1,0.007,"","not.sig","black",1,"Other","Q3"
"R254","Magnolia virginiana",0.209377022,1,0.000346089,0.001,0.024227836,0.001,256281.457,0.001,-6.869266785,-2.79378991,-3.537963111,1,3,1,0.001,0.003,0.001,"","not.sig","black",1,"Other","Q2"
"R255","Morus rubra",0.245635062,1,0.000421002,0.001,0.045761824,0.001,670627.711,0.001,0.795471413,-1.010411136,-1.388754132,784,153,68,0.784,0.153,0.068,"","not.sig","black",1,"Other","Q4"
"R256","Nyssa aquatica",0.236342394,1,0.000742368,0.001,0.064606329,0.001,12829.0085,0.001,-1.168944431,6.640038206,0.492029849,118,1000,712,0.118,1,0.712,"","not.sig","black",1,"Other","Q3"
"R257","Nyssa biflora",0.176130298,1,0.001365309,0.001,0.119963666,0.001,41414.11005,0.001,-13.89743044,21.46979282,6.016992897,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R258","Nyssa ogeche",0.2364462,1,0.002441728,0.001,0.023613568,0.001,561.5192956,0.001,-1.147000531,47.09509418,-3.599270418,121,1000,1,0.121,1,0.001,"","not.sig","black",1,"Other","Q3"
"R259","Nyssa sylvatica",0.220500623,1,0.00026753,0.001,0.022005221,0.001,736393.4319,0.001,-4.517802392,-4.66397803,-3.75979215,1,1,1,0.001,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R260","Ostrya virginiana",0.221864473,1,0.000366331,0.001,0.045672354,0.001,2290884.277,0.001,-4.229492634,-2.311919512,-1.397683722,1,7,67,0.001,0.007,0.067,"","not.sig","black",1,"Other","Q2"
"R261","Oxydendrum arboreum",0.218566205,1,0.00049929,0.001,0.021674503,0.001,241739.9358,0.001,-4.926727193,0.85330795,-3.792799636,1,814,1,0.001,0.814,0.001,"","not.sig","black",1,"Other","Q3"
"R262","Paulownia tomentosa",0.205211448,1,0.000509992,0.001,0.060269431,0.001,2463866.118,0.001,-7.749844843,1.108078608,0.05918387,1,871,550,0.001,0.871,0.55,"","not.sig","black",1,"Other","Q2"
"R263","Persea borbonia",0.128030049,1,0.000815436,0.001,0.079273319,0.001,29052.17943,0.001,-24.06554272,8.379486895,1.955875141,1,1000,967,0.001,1,0.967,"","not.sig","black",1,"Other","Q2"
"R264","Pinus clausa",0.034758506,1,0.001112731,0.001,0.087677787,0.001,93711.36611,0.001,-43.78260334,15.45692737,2.794686723,1,1000,990,0.001,1,0.99,"Shifting","sig","black",16,"Other","Q2"
"R265","Pinus echinata",0.232775471,1,0.000317939,0.001,0.022747042,0.001,65840.62103,0.001,-1.922971096,-3.463931866,-3.685754455,31,1,1,0.031,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R266","Pinus elliottii",0.08034772,1,0.00292428,0.001,0.127335885,0.001,303771.1,0.001,-34.14530932,58.58275277,6.752780395,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R267","Pinus glabra",0.180837567,1,0.001887953,0.001,0.146384498,0.001,20044.15988,0.001,-12.9023414,33.9118862,8.653935389,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R268","Pinus palustris",0.129400976,1,0.001201921,0.001,0.121077668,0.001,2180520.327,0.001,-23.77573678,17.58017924,6.128176275,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R269","Pinus pungens",0.20645344,1,0.001031267,0.001,0.030498417,0.001,9630.846506,0.001,-7.487295009,13.51757191,-2.912125058,1,1000,2,0.001,1,0.002,"","not.sig","black",1,"Other","Q3"
"R270","Pinus rigida",0.134826861,1,0.001505967,0.001,0.11434234,0.001,6649675.869,0.001,-22.62873641,24.81830907,5.45595402,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R271","Pinus serotina",0.13682742,1,0.001030943,0.001,0.045225205,0.001,6099.784971,0.001,-22.20582995,13.50987641,-1.442311663,1,1000,63,0.001,1,0.063,"","not.sig","black",1,"Other","Q2"
"R272","Pinus taeda",0.247483123,1,0.000127108,0.001,0.005506642,0.001,78048.06753,0.001,1.186140648,-8.006864521,-5.406439999,876,1,1,0.876,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R273","Pinus virginiana",0.238445569,1,0.000166098,0.001,0.002657517,0.001,20425.65524,0.001,-0.724345498,-7.078686658,-5.690798212,238,1,1,0.238,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R274","Planera aquatica",0.257235748,1,0.001057151,0.001,0.077919536,0.001,5675.207658,0.001,3.247788846,14.13377523,1.820760234,999,1000,959,0.999,1,0.959,"","not.sig","black",1,"Other","Q3"
"R275","Platanus occidentalis",0.214617765,1,0.000416684,0.001,0.071772913,0.001,23330688.36,0.001,-5.761404353,-1.113224865,1.20729387,1,132,895,0.001,0.132,0.895,"","not.sig","black",1,"Other","Q2"
"R276","Populus deltoides",0.240659215,1,0.000300142,0.001,0.041861819,0.001,3738307.554,0.001,-0.256393684,-3.887617435,-1.777995868,391,1,28,0.391,0.001,0.028,"","not.sig","black",1,"Other","Q1"
"R277","Populus heterophylla",0.218114367,1,0.000916125,0.001,0.122166973,0.001,7878.902677,0.001,-5.022243032,10.77650647,6.236894828,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R278","Prunus americana",0.238303169,1,0.000258513,0.001,0.036474335,0.001,165219.7185,0.001,-0.754447926,-4.878630771,-2.315695986,228,1,4,0.228,0.001,0.004,"","not.sig","black",1,"Other","Q1"
"R279","Prunus serotina",0.212246553,1,0.000375174,0.001,0.054409045,0.001,19235827.07,0.001,-6.262664818,-2.101403147,-0.525714471,1,16,314,0.001,0.016,0.314,"","not.sig","black",1,"Other","Q2"
"R280","Quercus alba",0.211192289,1,0.000459134,0.001,0.059093412,0.001,17314670.59,0.001,-6.485530113,-0.102634524,-0.058189176,1,473,493,0.001,0.473,0.493,"","not.sig","black",1,"Other","Q2"
"R281","Quercus bicolor",0.085152866,1,0.002030934,0.001,0.43398007,0.001,29140136.82,0.001,-33.12952934,37.31571221,37.35753613,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R282","Quercus coccinea",0.150104681,1,0.001496137,0.001,0.248938554,0.001,1652240.38,0.001,-19.39909418,24.58428967,18.88938745,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R283","Quercus ellipsoidalis",0.234277558,1,0.00160439,0.001,0.053289427,0.001,58157.88936,0.001,-1.605438642,27.16137867,-0.6374585,58,1000,276,0.058,1,0.276,"","not.sig","black",1,"Other","Q3"
"R284","Quercus falcata",0.243967446,1,0.000140796,0.001,0.005478299,0.001,62077.08703,0.001,0.442947125,-7.681021041,-5.409268806,687,1,1,0.687,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R285","Quercus ilicifolia",0.177788577,1,0.002006081,0.001,0.135800352,0.001,664195.675,0.001,-13.54688002,36.72404939,7.597580159,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R286","Quercus imbricaria",0.227545625,1,0.000579344,0.001,0.038260876,0.001,68779.5709,0.001,-3.028530058,2.759080202,-2.137389491,1,991,7,0.001,0.991,0.007,"","not.sig","black",1,"Other","Q3"
"R287","Quercus incana",0.144189029,1,0.000975995,0.001,0.086132336,0.001,28049.27761,0.001,-20.64962857,12.20176061,2.640442334,1,1000,987,0.001,1,0.987,"Shifting","sig","black",16,"Other","Q2"
"R288","Quercus laevis",0.04663787,1,0.001712361,0.001,0.13806359,0.001,463815.6012,0.001,-41.27137507,29.73172879,7.823463605,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R289","Quercus laurifolia",0.106811221,1,0.002024049,0.001,0.287134941,0.001,207276.9592,0.001,-28.55107931,37.15179659,22.70159433,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R290","Quercus lyrata",0.259086374,1,0.000377996,0.001,0.021270093,0.001,9247.133137,0.001,3.639000319,-2.034223178,-3.833161975,1000,18,1,1,0.018,0.001,"Generalist","sig","black",16,"Other","Q4"
"R291","Quercus macrocarpa",0.238867348,1,0.000440658,0.001,0.056786556,0.001,3493969.977,0.001,-0.635183871,-0.54248368,-0.288425973,265,294,401,0.265,0.294,0.401,"","not.sig","black",1,"Other","Q2"
"R292","Quercus margaretta",0.206203513,1,0.001499214,0.001,0.133125087,0.001,628.5577893,0.001,-7.540128186,24.65753867,7.330574133,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R293","Quercus marilandica",0.233362257,1,0.000291316,0.001,0.032562702,0.001,673375.4554,0.001,-1.798927955,-4.097721005,-2.70609825,42,1,2,0.042,0.001,0.002,"","not.sig","black",1,"Other","Q1"
"R294","Quercus michauxii",0.244060752,1,0.000330612,0.001,0.02286947,0.001,59797.38453,0.001,0.462671424,-3.162240909,-3.67353541,691,1,1,0.691,0.001,0.001,"","not.sig","black",1,"Other","Q4"
"R295","Quercus minima",0.031882863,1,0.002438765,0.001,0.140852469,0.001,40684.1268,0.001,-44.39049744,47.024549,8.101808917,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R296","Quercus muehlenbergii",0.227673002,1,0.000390314,0.001,0.048361956,0.001,615455.9399,0.001,-3.00160329,-1.740984482,-1.129246846,1,38,112,0.001,0.038,0.112,"","not.sig","black",1,"Other","Q2"
"R297","Quercus nigra",0.239460029,1,0.00033861,0.001,0.022940098,0.001,946771.301,0.001,-0.509894458,-2.971850712,-3.666486431,301,2,1,0.301,0.002,0.001,"","not.sig","black",1,"Other","Q4"
"R298","Quercus pagoda",0.221697881,1,0.000473718,0.001,0.040324591,0.001,12897.05653,0.001,-4.264709131,0.244540373,-1.93141953,1,614,17,0.001,0.614,0.017,"","not.sig","black",1,"Other","Q2"
"R299","Quercus palustris",0.032101255,1,0.002508958,0.001,0.375797587,0.001,609556438.6,0.001,-44.34433069,48.69557068,31.55060812,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2100","Quercus phellos",0.153118141,1,0.000929069,0.001,0.228351438,0.001,17008471.56,0.001,-18.76206648,11.08464615,16.83468141,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2101","Quercus rubra",0.11285507,1,0.001253837,0.001,0.274075966,0.001,199721329.3,0.001,-27.2734449,18.81608967,21.39823771,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2102","Quercus shumardii",0.243852645,1,0.000562832,0.001,0.060540254,0.001,127020.9573,0.001,0.418678805,2.365989232,0.086213478,678,984,563,0.678,0.984,0.563,"","not.sig","black",1,"Other","Q3"
"R2103","Quercus sinuata",0.245533321,1,0.001446106,0.001,0.218803361,0.001,10322.34226,0.001,0.773963925,23.39325638,15.88173147,781,1000,1000,0.781,1,1,"","not.sig","black",1,"Other","Q3"
"R2104","Quercus stellata",0.243134181,1,0.000244483,0.001,0.026547567,0.001,997859.1082,0.001,0.266799779,-5.212637612,-3.306441407,618,1,1,0.618,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R2105","Quercus texana",0.25253915,1,0.001115152,0.001,0.061281741,0.001,1298.988356,0.001,2.254955452,15.51454053,0.160217933,986,1000,592,0.986,1,0.592,"","not.sig","black",1,"Other","Q3"
"R2106","Quercus velutina",0.201898732,1,0.00064411,0.001,0.102520349,0.001,3044946.123,0.001,-8.450133725,4.300907443,4.276055009,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2107","Quercus virginiana",0.141776307,1,0.001553795,0.001,0.263722183,0.001,4299108.408,0.001,-21.15966394,25.95690218,20.36487388,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2108","Robinia pseudoacacia",0.220651085,1,0.000302797,0.001,0.014006416,0.001,82131.23038,0.001,-4.485995701,-3.824416632,-4.558116404,1,1,1,0.001,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R2109","Salix caroliniana",0.133266312,1,0.001740267,0.001,0.40404173,0.001,859683.3785,0.001,-22.95862732,30.39607442,34.36952711,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2110","Salix nigra",0.228264865,1,0.000390993,0.001,0.078294034,0.001,2274215.979,0.001,-2.876486899,-1.724822015,1.85813723,3,38,962,0.003,0.038,0.962,"","not.sig","black",1,"Other","Q2"
"R2111","Sassafras albidum",0.220882638,1,0.000334808,0.001,0.027640777,0.001,18611727.22,0.001,-4.437046645,-3.062359012,-3.197333034,1,1,1,0.001,0.001,0.001,"","not.sig","black",1,"Other","Q1"
"R2112","Taxodium distichum",0.221020122,1,0.000887155,0.001,0.144695909,0.001,8586949.427,0.001,-4.407983452,10.08683134,8.485405113,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2113","Tilia americana",0.098988371,1,0.001350268,0.001,0.29563444,0.001,145129547.5,0.001,-30.20478422,21.11172841,23.54989051,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2114","Triadica sebifera",0.250226428,1,0.000715247,0.001,0.087506241,0.001,8132696.162,0.001,1.766059383,5.994392742,2.777565484,964,1000,990,0.964,1,0.99,"","not.sig","black",1,"Other","Q3"
"R2115","Tsuga canadensis",0.19276449,1,0.00057459,0.001,0.062380923,0.001,30895628.97,0.001,-10.38105937,2.645907478,0.269922216,1,990,638,0.001,0.99,0.638,"","not.sig","black",1,"Other","Q2"
"R2116","Tsuga caroliniana",0.174499152,1,0.001922852,0.001,0.019853576,0.001,2328.557607,0.001,-14.24224534,34.7426927,-3.974538029,1,1000,1,0.001,1,0.001,"","not.sig","black",1,"Other","Q3"
"R2117","Ulmus alata",0.246493204,1,0.000283475,0.001,0.015092071,0.001,142092.7846,0.001,0.976877606,-4.284400351,-4.449762078,828,1,1,0.828,0.001,0.001,"","not.sig","black",1,"Other","Q4"
"R2118","Ulmus americana",0.098760043,1,0.001024254,0.001,0.411685485,0.001,171514499.5,0.001,-30.25305147,13.35063607,35.13241535,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R2119","Ulmus crassifolia",0.228607308,1,0.000523858,0.001,0.006201999,0.001,267880.6166,0.001,-2.804096512,1.438180651,-5.337039585,3,926,1,0.003,0.926,0.001,"","not.sig","black",1,"Other","Q4"
"R2120","Ulmus rubra",0.220581856,1,0.000466238,0.001,0.06981044,0.001,295141.0189,0.001,-4.500630254,0.06648231,1.011428399,1,544,853,0.001,0.544,0.853,"","not.sig","black",1,"Other","Q2"
"R2121","Ulmus thomasii",0.264077727,1,0.000193453,0.001,0.005119902,0.001,170.6033433,0.001,4.694143395,-6.427458177,-5.445038765,1000,1,1,1,0.001,0.001,"Generalist","sig","black",16,"Other","Q4"
"123","Global",0.2418721,NA,0.0004634458,NA,0.05967644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Global","sig","#D8511D",16,"Global","Q4"
